name,image,batting_style,bowling_style,playing_role,description
Ashton James Turner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321560.1.png",Right hand Bat,Right arm Offbreak,Middle order Batter,"A tall and powerful right-hander, Ashton Turner clears the rope with deft placement, is a brilliant runner between the wickets, and has made a habit of chasing unlikely totals as a middle-order specialist in the BBL. Turner made his first-class debut in elite company in 2013: he was in England playing club cricket and was called into Australia's XI in a tour match against Sussex. He enjoyed a breakout summer in 2016-17, which culminated in a call-up to Australia's T20I side to play against Sri Lanka in February 2017. Earlier in the season he had scored his maiden first-class century, against Tasmania, and followed that two matches later with another hundred against Queensland."
Krishnappa Gowtham,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392800/392891.5.png",Right hand Bat,Right arm Offbreak,Bowling Allrounder,"An offspinning allrounder who was largely seen as a T20 specialist, K Gowtham changed his narrative in 2016 when he broke back into Karnataka's Ranji Trophy side and took 18 wickets in his first three matches. His consistency earned him a place with the India A team in 2017 and a gigantic pay-day in the 2018 IPL auction when he was bought by Rajasthan Royals for INR 6.2 crore (USD 968000 approx)

Amid those highlights was a bit of controversy as well when he took leave from the Duleep Trophy in 2017, citing illness, and was found a few days a later playing in the Karnataka Premier League. The BCCI pulled him out of the squad to play New Zealand A for actions that were a ""gross insult to the system""."
Deepak Jagbir Hooda,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/345000/345083.1.png",Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction. Hooda's game is also suited to the longer formats. Appointed Baroda's captain at the start of the 2016-17 Ranji season, he reeled off three consecutive hundreds, including an unbeaten 293 against Punjab, but struggled to convert his starts thereafter. In 2021, Baroda suspended him for indiscipline after he left the T20 squad, having accused captain Krunal Pandya of ""bullying"" and using abusive language. He moved to Rajasthan the next season."
Arshin Atul Kulkarni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387900/387916.5.png",Right hand Bat,Right arm Medium,Allrounder,
Prerak Nileshkumar Mankad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378128.1.png",Right hand Bat,Right arm Medium,Allrounder,
Kyle Rico Mayers,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322024.1.png",Left hand Bat,Right arm Medium,Batting Allrounder,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. He had won his place on the back of some impressive form in regional cricket for Barbados, making his maiden professional hundreds in 2019-20. In the Regional Super50, he hit 113 from the middle order against the Leeward Islands, before finishing second to Jermaine Blackwood in the four-day run-scoring charts as Barbados cantered to the title."
Krunal Himanshu Pandya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322614.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,"Krunal Pandya IPL factfile - A year after they signed his younger brother Hardik, Mumbai Indians (MI) got Krunal Pandya in the IPL 2016 auction for INR 2 crore. - A spin-bowling allrounder, Krunal quickly became a key part of a strong lower-middle order at MI alongside Hardik and Kieron Pollard."
Marcus Peter Stoinis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321596.2.png",Right hand Bat,Right arm Medium,Batting Allrounder,"Marcus Stoinis player profile A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has been a mainstay in Australia's limited-overs sides, a dominant presence in the BBL, and a sought-after IPL performer. Stoinis debuted for his home state, Western Australia, at 19, but found opportunities limited there and moved to Victoria, where he got a run in their Sheffield Shield side in 2013-14 and produced an outstanding 170 against Tasmania, a breakthrough innings that led to him becoming a regular in the top order. Stoinis was Victoria's leading run-scorer in the 2014-15 Sheffield Shield season and was called up to Australia's squad for limited-overs matches against England in 2015, where he debuted, playing an ODI and a T20I."
David Jonathan Willey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322904.1.png",Left hand Bat,Left arm Fast medium,Bowling Allrounder,"Naturally competitive, willing to innovate, capable of changing a game with bat or ball, stunning run-out or implausible catch, David Willey has a lot going for him as a limited-overs cricketer. His attacking approach as a left-arm quick and a clean-hitting batter first won him an international cap against Ireland in 2015 and he was regular member of England's ODI squads through that four-year cycle, but was squeezed out on the eve of the 2019 World Cup by the newly qualified Jofra Archer."
Mohd Arshad Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378129.1.png",Left hand Bat,Left arm Medium,Bowler,
Matthew James Henry,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383178.1.png",Right hand Bat,Right arm Fast medium,Bowler,"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph. He played in only two matches in the 2015 World Cup, and incredibly they were the most important, the semi-final against South Africa and the final against Australia."
Shamar Joseph,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388400/388426.5.png",Left hand Bat,Right arm Fast,Bowler,"The first time was a surprise, and the second a shock. Five wickets in Adelaide, and seven more in Brisbane, with a badly injured toe, to bowl West Indies to their first Test win in Australia in nearly 27 years. Shamar Joseph did all this in his debut series on the Australia tour of 2023-24. Former Australia quick Rodney Hogg had labelled the touring West Indians a ""weak side"", and called them ""pathetic"" and ""hopeless"" after their ten-wicket defeat in the first Test in Adelaide. After Joseph's monumental effort at the Gabba, West Indies captain Kraigg Brathwaite flexed his biceps at the post-match presentation, and delivered this riposte to Hogg: ""Are these muscles big enough for him?"""
Amit Mishra,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323053.1.png",Right hand Bat,Legbreak,Bowler,"When he burst onto the scene in the early 2000s, Amit Mishra impressed with his classical, attacking legspin, relying mostly on flight and a big legbreak, while surprising batsmen with the odd googly. However, with two giant spinners - Anil Kumble and Harbhajan Singh - at the peak of their powers, there wasn't a place available for him in India's squad. Mishra made his international debut in 2003 during an ODI triangular in Bangladesh, but he had to wait until 2008 to get his first go in Tests. That opportunity came after an injury forced Kumble out of the Mohali Test against Australia. Mishra had a dream start to his Test career, becoming the sixth Indian to take a five-wicket haul on debut, foxing the Australians with his variations and finishing the series with 14 wickets from three Tests. With his debut series coinciding with Kumble's last, it was the opening he needed to establish himself as India's first-choice legspinner. But, his inability to extract turn on benign pitches and the lack of accuracy were his failings as other spinners overtook him in the pecking order."
Mohsin Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386300/386359.5.png",Left hand Bat,Left arm Medium fast,Bowler,
Naveen-ul-Haq Murid,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383238.1.png",Right hand Bat,Right arm Medium fast,Bowler,"A feisty fast bowler with a wide range of slower-ball variations, Naveen-ul-Haq first rose to prominence as a death-overs specialist, but soon developed his new-ball skills to become a useful weapon across phases. Like many of his compatriots, he is an in-demand commodity in franchise leagues across the world.
Born in Kabul, Naveen fled with his family to Pakistan in his early years, and began playing tape-ball cricket there. When they returned to Afghanistan, he began playing with a leather ball for the first time. He was so impressive for Afghanistan's Under-16 and Under-19 teams that his first professional match at the senior level was his ODI debut against Bangladesh, just two days after he turned 17.
Naveen made seven sporadic ODI appearances from his debut to January 2021, and a year later he took a break from the format to focus on the 2022 T20 World Cup. In the meantime, he became an integral part of Afghanistan's T20I side, either side of captaining Afghanistan to a fourth-place finish at the 2018 Under-19 World Cup.
Stints at the BPL, CPL, LPL and the T20 Blast followed as he began to build his reputation. In 2023, Naveen announced he would retire from ODIs after the World Cup that year. He took eight wickets as Afghanistan put in an impressive display in the competition, finishing sixth on the table.
By then, he had made his IPL debut as well, taking 11 wickets in his first season for Lucknow Super Giants, and was also in the news for an on-field altercation with Virat Kohli.
Towards the end of 2024, Naveen along with team-mates Fazalhaq Farooqi and Mujeeb-ur-Rahman got in trouble with the Afghanistan Cricket Board after they asked to be released from their central contracts so they could sign up for more franchise leagues. The board responded by revoking the players' NOCs and denying them further NOCs for the next two years. The situation was resolved with the board agreeing to grant them a limited number of NOCs and slapping them with financial penalties.
Naveen returned 14 wickets in IPL 2024, but it was in the T20 World Cup that year that he really shone. Naveen and Farooqi combined to take the spotlight away from Afghanistan's spinners as they made the semi-finals of a World Cup for the first time. Naveen finished the tournament with 13 wickets, and his three-wicket burst was one of the highlights of Afghanistan's first-ever victory over Australia in any format."
Ravi Bishnoi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/337100/337188.1.png",Right hand Bat,Legbreak Googly,Bowler,"Ravi Bishnoi is a modern-day legspinner who likes to trouble batters with his fast legbreaks, sliders and googlies instead of deceiving them with flight, drift and dip. Pursuing cricket was not easy for Bishnoi. His father, a headmaster at a government school, did not like the idea. But his mother loved the sport and would watch cricket with him on television while his father was at school. After a couple of heartbreaks at the age-group level, Bishnoi made his T20 debut for Rajasthan in the 2018-19 Syed Mushtaq Ali Trophy, where he picked up four wickets in as many matches at an economy of 6.07."
Manimaran Siddharth,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/330900/330975.4.jpg",Right hand Bat,Slow Left arm Orthodox,Bowler,
Mayank Prabhu Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/373900/373904.1.png",Right hand Bat,Right arm Fast,Bowler,"An express bowler from Delhi, Mayank Yadav had played just two List A games when he was picked by Lucknow Super Giants (LSG) ahead of IPL 2022. He did not play a match in the first season and was ruled out of the next season with a torn hamstring. Once he got fit, he was fast-tracked into the North Zone side for the 50-over Deodhar Trophy where he knocked out Rahul Tripathi's middle stump with a rapid delivery. He made his IPL debut in 2024, against Punjab Kings in Lucknow, where he hurried the batters with his pace. He picked up 3 for 27 from his four overs and recorded a top speed of 155.8kph."
Yash Ravisingh Thakur,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392800/392812.2.png",Right hand Bat,Right arm Fast medium,Bowler,
Yudhvir Singh Charak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314789.jpg",Right hand Bat,Right arm Medium fast,Bowler,
Shivam Pankaj Mavi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/341000/341042.1.png",Right hand Bat,Right arm Fast medium,Bowler,"At 5' 9"", Shivam Mavi does not have the height of a fast bowler - though he is strongly built - but he made people sit up and take notice of him when he consistently bowled in excess of 140kph at the 2018 Under-19 World Cup in New Zealand. Seeing Mavi's potential, KKR bought him for INR 3 crore at the IPL 2018 auction. But a lack of control and a number of injuries have hampered his career since then. He had a below-par first season for KKR and missed the following one with a stress fracture of the back. The franchise persisted with him and even bought him back, for INR 7.25 crore, at the IPL 2022 auction. However, Mavi's lacklustre performance that season - five wickets in six games at an economy of 10.31 - meant he was released from the squad."
Mark Andrew Wood,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383149.2.png",Right hand Bat,Right arm Fast,Bowler,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered. An apparently relentless succession of injuries - particularly injuries to his ankle - threatened to either end his career or turn him into another fast medium seamer who compromised his pace for a longer career in the game. But Wood was not to be denied. Abandoning a short run-up that was a characteristic of his career up until the latter part of 2018, Wood instead reasoned a longer approach to the crease would put less pressure on his body and allow him to hit the speeds his early career had promised."
Timothy Hays David,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340305.1.png",Right hand Bat,Right arm Offbreak,Middle order Batter,"Tim David player profile Mumbai Indians' decision to sign Tim David for INR 8.25 crore (AUD 1.5 million) at the 2022 IPL auction confirmed two things. Firstly, that the game's formats had diverged so much that a man without a state contract or even a first-class appearance to his name could be worth such a sum; and secondly, that David had become one of the world's most sought-after T20 finishers over the previous 12 months."
Harvik Manishbhai Desai,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381382.1.png",Right hand Bat,,Wicketkeeper Batter,
Ishan Pranav Kumar Pandey Kishan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331165.1.png",Left hand Bat,Legbreak,Wicketkeeper Batter,"Ishan Kishan player profile Diminutive wicketkeeper and left-hand opening batter Ishan Kishan was among the first Indian cricketers to be better known for their efforts in franchise cricket than in internationals. A decade into his career, Kishan had played close to 200 T20s, just over 30 of those for India, and won two IPL titles with Mumbai Indians, for whom he had had three seasons in which he scored over 400 runs apiece - including 516 in 2020 when they defended their title successfully."
Naman Dhir,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381384.1.png",Right hand Bat,Right arm Offbreak,Top order Batter,"Naman Dhir is a batting allrounder from Punjab who recently won the Syed Mushtaq Ali Trophy with them in 2023-24. Dhir only played a peripheral role in that title win, but had done enough in Sher-E-Punjab local T20 tournament to attract the attention of Mumbai Indians' scouting network. He was the second-highest run-getter in that tournament, with 466 runs at a strike rate of almost 193. In the IPL 2024 auction, Mumbai snapped Dhir up for his base price of INR 20 lakh. In the injury absence of Suryakumar Yadav, Dhir made his IPL debut against Gujarat Titans in Mumbai's first game of the season and slotted in at No.3."
Shivalik Sunil Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381385.1.png",Left hand Bat,Legbreak Googly,Batter,
Rohit Gurunath Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385819.2.png",Right hand Bat,Right arm Offbreak,Top order Batter,"Rohit Sharma player profile Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20."
Nehal Wadhera,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381388.1.png",Left hand Bat,Legbreak,Top order Batter,
Suryakumar Ashok Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331163.1.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Suryakumar Yadav player profile Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. He also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140."
Vishnu Vinod,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359774.1.png",Right hand Bat,,Wicketkeeper Batter,
Hardik Himanshu Pandya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388300/388343.5.png",Right hand Bat,Right arm Medium fast,Allrounder,"Hardik Pandya player profile Allrounder Hardik Pandya's calling cards brisk seam bowling and powerful ball-striking marked by the ability to hit sixes from the first ball. Hardik, who plays his domestic cricket for Baroda, first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in the 2015 IPL. That began a long association with Mumbai, where he won four trophies and gained acclaim as a formidable finisher. By the end of the 2022 T20 World Cup, he had come to be seen as a future India captain, thanks to the leadership skills he showed that year in turning an unfancied Gujarat Titans line-up into IPL champions in their first year of existence."
Dewald Brevis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/335100/335134.1.png",Right hand Bat,Legbreak,Batting Allrounder,
Piyush Pramod Chawla,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322272.1.png",Left hand Bat,Legbreak,Bowling Allrounder,"Piyush Chawla is one for early impact. As a 15-year-old he represented India Under-19 and Uttar Pradesh U-22. Before he made his first-class debut, at 17, he had already bowled Sachin Tendulkar with a googly in a Challenger Series match. In his first first-class season, he took 35 wickets and scored 224 runs to help UP win their first Ranji Trophy. In his teens he played two Test matches too, against England and South Africa. He took three wickets on ODI debut in Bangladesh in 2007, and 14 during India's tour of Ireland and England the same year, often troubling Kevin Pietersen with the googlies and the straighter ones."
Shreyas Gopal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322275.1.png",Right hand Bat,Legbreak,Allrounder,"Shreyas Gopal came into the Karnataka side as a middle-order batsman who could bowl legspin, and ended up assuming - through a combination of circumstance and happenstance - the lead spinner's role. He took 22 wickets at an average of 18.22 in his first Ranji Trophy season, as Karnataka claimed the 2013-14 title, and followed it up with a hat-trick against Rest of India in the Irani Cup. Those displays spurred Mumbai Indians to bag Shreyas for his base price of INR 10 lakh in the 2014 IPL auction. Sharp turn rather than accuracy is Shreyas' forte, and Karnataka have tended to use him in short bursts rather than over long spells. While he has consistently chipped in with wickets, his technically correct batting - which brought him two hundreds in his second Ranji Trophy season - seems likely to become his primary suit over time."
Anshul Kamboj,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381389.1.png",Right hand Bat,Right arm Medium,Allrounder,
Mohammad Nabi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381920.2.png",Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage. Nabi took up cricket at the age of 10 while living in Peshawar. Honing his skills with endless sessions of tennis-ball cricket, he managed to begin training at Arshad Khan's academy in Peshawar and made his competitive debut against Rahim Yar Khan Cricket Association in Pakistan's erstwhile Cornelius Trophy in 2003, making 61 after having just met most of his team-mates. On a tour of India he caught Mike Gatting's eye with a century against a visiting MCC side. That brought him more valuable experience with MCC, for whom he made his first-class debut, and he went on to play a major role in Afghanistan's progress to the World Cup Qualifiers in South Africa in 2009. Nabi struck 58 against Scotland on one-day international debut and 102 in his first first-class game for Afghanistan, against a Zimbabwe XI."
Shams Zakir Mulani,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381390.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,
Romario Shepherd,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322037.1.png",Right hand Bat,Right arm Fast medium,Bowling Allrounder,"A bowling allrounder, Romario Shepherd started for Guyana in domestic cricket with the List A format in 2016 and then first-class in 2017. But his hard-hitting batting as a finisher has instead helped him become a T20 specialist. And like most modern West Indies players, Shepherd has played in multiple T20 leagues around the world - like the CPL, IPL, SA20, BPL and MLC. Most notably, playing for Mumbai Indians (MI) in IPL 2024, he bashed Anrich Nortje for 32 runs in a single over, including four sixes and two fours."
Namboori Thakur Tilak Varma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381391.1.png",Left hand Bat,Right arm Offbreak,Batting Allrounder,"In 2022, when Tilak Varma was only 19, Rohit Sharma proclaimed he would soon be an all-format player for India. Such was his technique, temperament, and shot-making ability. When Varma was growing up, his father did not have the resources to send him for private coaching. During that time, Salam Bayash, his first coach, took care of his fees and equipment needs and ensured Varma was not lost to cricket."
Jasprit Jasbirsingh Bumrah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.2.png",Right hand Bat,Right arm Fast,Bowler,
Gerald Coetzee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348579.1.png",Right hand Bat,Right arm Fast,Bowler,
Kumar Kartikeya Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359773.1.png",Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler,
Akash Madhwal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381394.1.png",Right hand Bat,Right arm Medium fast,Bowler,
Kwena Tshegofatso Maphaka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339500/339569.6.png",Left hand Bat,Left arm Fast,Bowler,
Arjun Sachin Tendulkar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359770.1.png",Left hand Bat,Left arm Medium fast,Bowler,"Arjun Tendulkar IPL factfile - In 2021, Arjun Tendulkar was bought in the IPL auction for his base price of INR 20 lakh by Mumbai Indians (MI). - An injury ruled him out of the IPL that year, with Mumbai Indians bringing in Simarjeet Singh as his replacement."
Ilandari Dewage Nuwan Thushara,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381395.7.png",Right hand Bat,Right arm Medium fast,Bowler,
Luke Wood,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/324300/324367.1.png",Left hand Bat,Left arm Fast medium,Bowler,"Luke Wood, a left-arm fast bowler with the priceless ability to swing the ball back into right-handers, joined Lancashire at the end of the 2019 season in search of a more regular first-team place after spending time in and out of the Nottinghamshire side. His first season at the club was disrupted by the Covid-19 pandemic, though he bowled impressively throughout the T20 Blast to take Lancashire to the semi-finals. In 2021, he swung the red ball impressively and cracked a Championship hundred from No. 8 against Kent."
Jason Paul Behrendorff,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321589.2.png",Right hand Bat,Left arm Fast medium,Bowler,"A left-arm bowler with good pace and the ability to swing the ball, Jason Behrendorff has come to prominence for Australia in limited-overs cricket as a new ball specialist. He was born in Sydney and raised in Canberra but has made his career with Western Australia after there during the 2009 off-season. He made his first-class debut in 2011-12 but his breakthrough season was 2013-14, when he finished second only to Steve O'Keefe on the Sheffield Shield wicket tally with 40 victims at 22.70. That season earned him a call-up to the Australia A squad for their four-day matches against South Africa in the 2014 winter."
Lokumarakkalage Dilshan Madushanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348600.1.png",Right hand Bat,Left arm Fast medium,Bowler,
Shikhar Dhawan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316524.2.png",Left hand Bat,Right arm Offbreak,Opening Batter,Shikhar Dhawan IPL factfile - Shikhar Dhawan is the first man to hit back-to-back centuries in the IPL. - Dhawan holds the record for hitting most fours in the IPL. - He is only behind Virat Kohli in aggregate runs. - Dhawan won the IPL with Sunrisers Hyderabad (SRH) in 2016.
Harpreet Singh Bhatia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380600/380687.1.png",Left hand Bat,Right arm Medium,Batter,"A left-handed batting allrounder, Harpreet Singh hails from a small town in interior Madhya Pradesh called Dalli Rajhara. He scored 709 runs in seven matches in the Cooch Behar Trophy in 2008-09, which won him the award for the best Under-19 cricketer of the season. He was named vice-captain for the U-19 tour of Australia in 2009, where he scored a total of 262 runs at 52.40. He made his Ranji Trohy debut for MP later that year and was named in the U-19 squad for the World Cup in New Zealand.
Cricinfo Staff January 2010"
Prabhsimran Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358040.1.png",Right hand Bat,,Wicketkeeper Batter,
Rilee Roscoe Rossouw,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316651.1.png",Left hand Bat,Right arm Offbreak,Top order Batter,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket. He first came to attention in the 2008 Under-19 World Cup, after which he was the leading run-scorer in the South African first-class competition in 2009-10, with 1189 runs at 66.05. But though he went on to average over 40 in first-class cricket in 2011-12, 2012-13 and 2013-14, he was unable to break into to the Test team."
Jitesh Mohan Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380600/380690.1.png",Right hand Bat,,Wicketkeeper Batter,"Jitesh Sharma IPL factfile - Jitesh Sharma was first purchased in the IPL by Mumbai Indians in 2016 and retained in 2017, but he didn't get a game with them. - He was again bought in the IPL 2022 auction by Punjab Kings and he made an impression as a finisher."
Jonathan Marc Bairstow,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383157.1.png",Right hand Bat,Right arm Medium,Wicketkeeper Batter,"Jonny Bairstow player profile Jonny Bairstow, the son of the former England wicketkeeper David Bairstow, is a combative wicketkeeper-batter who has become a cricketer to be reckoned with in England's middle order. The journey was far from easy for Bairstow, especially with Jos Buttler in contention for the gloves, but prolific run-making for Yorkshire eventually made a case that England's selectors could not ignore. Galvanised by his selection, runs flowed."
Rishi Dhawan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380600/380692.1.png",Right hand Bat,Right arm Medium fast,Allrounder,"Rishi Dhawan graduated from being an opening batsman in junior cricket to a seam-bowling allrounder, who largely relies on slow variations and cutters. His domestic performances for Himachal Pradesh, a bulk of which came in seamer-friendly conditions in Dharamsala, earned him an ODI debut during the limited-overs series in Australia in January 2016. He first hit the headlines as a 16-year-old in 2006, when he scored 340 for Himachal Pradesh in an Under-19 match against Railways in the Cooch Behar Trophy. Three years later, he was fast-tracked into the first-class setup, where his bowling performances overshadowed his batting. Dhawan finished the 2013-14 Ranji Trophy as the highest wicket-taker - 49 from eight matches - and earned an India A call-up for a limited-overs tour of Australia in July 2014. He showcased his batting potential in the final there by scoring an unbeaten 56 at No. 7 to help India A clinch the title. His continued good form in the Ranji Trophy season that followed, that fetched him 40 wickets, put him on the selection radar for the senior team."
